Hexagram Number,Hexagram Name,Binary Sequence,Judgment,Image,Lines,Keywords,Changing Lines,Commentary,Element,Astrological Association,Mythological Association,Affirmation
51,"Shock (The Arousing, Thunder)",001001,"Shock brings success. Shock comes—oh, oh! Laughing words—ha, ha! The shock terrifies for a hundred miles, and he does not let fall the sacrificial spoon and chalice.",Thunder repeated: the image of Shock. Thus in fear and trembling the superior man sets his life in order and examines himself.,"{'line_1': 'Shock comes—oh, oh! Then follows laughing words—ha, ha! Good fortune.', 'line_2': 'Shock comes bringing danger. A hundred thousand times you lose your treasures and must climb the nine hills. Do not go in pursuit of them. After seven days you will get them back.', 'line_3': 'Shock comes and makes you distraught. If shock spurs to action one remains free of misfortune.', 'line_4': 'Shock is mired.', 'line_5': 'Shock goes hither and thither. Danger. However, nothing at all is lost. Yet there are things to be done.', 'line_6': 'Shock brings ruin and terrified gazing around. Furthering him who acts in accordance with the time.'}","Shock, arousing, self-examination",,,Thunder,Aries,Thunder,I am aroused to self-examination and order by shock.
52,Keeping Still (Mountain),100110,Keeping Still. Keeping his back still so that he no longer feels his body. He goes into his courtyard and does not see his people. No blame.,Mountains standing close together: the image of Keeping Still. Thus the superior man does not permit his thoughts to go beyond his situation.,"{'line_1': 'Keeping his toes still. No blame. Continued perseverance furthers.', 'line_2': 'Keeping his calves still. He cannot rescue him whom he follows. His heart is not glad.', 'line_3': 'Keeping his hips still. Making his sacrum stiff. Dangerous. The heart suffocates.', 'line_4': 'Keeping his trunk still. No blame.', 'line_5': 'Keeping his jaws still. The words have order. Remorse disappears.', 'line_6': 'Noblehearted keeping still. Good fortune.'}","Stillness, perseverance, meditation",,,Mountain,Taurus,Mountain,I practice stillness and perseverance.
53,Development (Gradual Progress),100101,Development. The maiden is given in marriage. Good fortune. Perseverance furthers.,"On the mountain, a tree: the image of Development. Thus the superior man abides in dignity and virtue, in order to improve the mores.","{'line_1': 'The wild goose gradually draws near the shore. The young son is in danger. There is talk. No blame.', 'line_2': 'The wild goose gradually draws near the cliff. Eating and drinking in peace and concord. Good fortune.', 'line_3': 'The wild goose gradually draws near the plateau. The man goes forth and does not return. The woman carries a child but does not bring it forth. Misfortune. It furthers one to fight off robbers.', 'line_4': 'The wild goose gradually draws near the tree. Perhaps it will find a flat branch. No blame.', 'line_5': 'The wild goose gradually draws near the summit. For three years the woman has no child. In the end nothing can hinder her. Good fortune.', 'line_6': 'The wild goose gradually draws near the cloud heights. Its feathers can be used for the sacred dance. Good fortune.'}","Development, progress, perseverance",,,Mountain and Wood,Gemini,Progress,I embrace gradual progress and perseverance.
54,The Marrying Maiden,011001,The Marrying Maiden. Undertakings bring misfortune. Nothing that would further.,Thunder over the lake: the image of The Marrying Maiden. Thus the superior man understands the transitory in the light of the eternity of the end.,"{'line_1': 'The marrying maiden as a concubine. A lame man who is able to tread. Undertakings bring good fortune.', 'line_2': 'A one-eyed man who is able to see. The perseverance of a solitary man furthers.', 'line_3': 'The marrying maiden as a slave. She marries as a concubine.', 'line_4': 'The marrying maiden draws out the allotted time. A late marriage comes in due course.', 'line_5': 'The sovereign I gave his daughter in marriage. The embroidered garments of the princess were not as gorgeous as those of the serving maid. The moon that is nearly full brings good fortune.', 'line_6': 'The woman holds the basket, but there are no fruits in it. The man stabs the sheep, but no blood flows. Nothing that acts to further.'}","Marriage, transition, understanding",,,Thunder and Lake,Cancer,Marriage,I understand the transitory nature of life.
55,Abundance (Fullness),101011,Abundance has success. The king attains abundance. Be not sad. Be like the sun at midday.,Both thunder and lightning come: the image of Abundance. Thus the superior man decides lawsuits and carries out punishments.,"{'line_1': 'When a man meets his destined ruler, they can be together ten days, and it is not a mistake. Going meets with recognition.', 'line_2': 'The curtain is of such fullness that the polestars can be seen at midday. Through going one meets with mistrust and hate. If one rouses him through truth, good fortune comes.', 'line_3': 'The underbrush is of such abundance that the small stars can be seen at midday. He breaks his right arm. No blame.', 'line_4': 'The curtain is of such fullness that the polestars can be seen at midday. He meets his ruler, who is of like kind. Good fortune.', 'line_5': 'Lines are coming, blessing and fame draw near. Good fortune.', 'line_6': 'His house is in a state of abundance. He screens off his family. He peers through the gate and no longer perceives anyone. For three years he sees nothing. Misfortune.'}","Abundance, fullness, success",,,Thunder and Lightning,Leo,Fullness,I attain abundance and success.
56,The Wanderer,101100,The Wanderer. Success through smallness. Perseverance brings good fortune to the wanderer.,Fire on the mountain: the image of The Wanderer. Thus the superior man is clear-minded and cautious in imposing penalties and protracting trials.,"{'line_1': 'If the wanderer busies himself with trivial things, he draws down misfortune upon himself.', 'line_2': 'The wanderer comes to an inn. He has his property with him. He wins the steadfastness of a young servant.', 'line_3': ""The wanderer's inn burns down. He loses the steadfastness of his young servant. Danger."", 'line_4': 'The wanderer rests in a shelter. He obtains his property and an axe. My heart is not glad.', 'line_5': 'He shoots a pheasant. It drops with the first arrow. In the end this brings both praise and office.', 'line_6': ""The bird's nest burns up. The wanderer laughs at first, then must needs lament and weep. Through carelessness he loses his cow. Misfortune.""}","Wanderer, success, caution",,,Fire and Mountain,Sagittarius,Wanderer,I navigate life with the caution and clarity of the wanderer.
57,"The Gentle (The Penetrating, Wind)",110110,The Gentle. Success through what is small. It furthers one to have somewhere to go. It furthers one to see the great man.,Winds following one upon the other: the image of The Gentle. Thus the superior man spreads his commands abroad and carries out his undertakings.,"{'line_1': 'In advancing and in retreating, the perseverance of a warrior furthers.', 'line_2': 'Penetration under the bed. Priests and magicians are used in great number. Good fortune. No blame.', 'line_3': 'Repeated penetration. Humiliation.', 'line_4': 'Remorse vanishes. During the hunt three kinds of game are caught.', 'line_5': 'Perseverance brings good fortune. Remorse vanishes. Nothing that does not further. No beginning, but an end. Before the change, three days. After the change, three days. Good fortune.', 'line_6': 'Penetration under the bed. He loses his property and his ax. Perseverance brings misfortune.'}","Gentle, success, penetration",,,Wind,Libra,Wind,I achieve success through gentle penetration and perseverance.
58,The Joyous (Lake),011011,The Joyous. Success. Perseverance is favorable.,Lakes resting on one another: the image of The Joyous. Thus the superior man joins with his friends for discussion and practice.,"{'line_1': 'Contented joyousness. Good fortune.', 'line_2': 'Sincere joyousness. Good fortune. Remorse disappears.', 'line_3': 'Coming joyousness. Misfortune.', 'line_4': 'Joyousness that is weighed is not at peace. After ridding oneself of mistakes one makes a rejoicing.', 'line_5': 'Sincerity towards disintegrating influences is dangerous.', 'line_6': 'Seductive joyousness.'}","Joyous, success, sincerity",,,Lake,Gemini,Joy,I embrace joyousness with sincerity and perseverance.
59,Dispersion (Dissolution),101110,Dispersion. Success. The king approaches his temple. It furthers one to cross the great water. Perseverance furthers.,The wind drives over the water: the image of Dispersion. Thus the kings of old sacrificed to the Lord and built temples.,"{'line_1': 'He brings help with the strength of a horse. Good fortune.', 'line_2': 'At the dissolution he hurries to that which supports him. Remorse disappears.', 'line_3': 'He dissolves his self. No remorse.', 'line_4': 'He dissolves his bond with his group. Supreme good fortune. Dispersion leads in turn to accumulation. This is something that ordinary men do not think of.', 'line_5': 'His loud cries are as dissolving as sweat. Dissolution. A king abides without blame.', 'line_6': 'He dissolves his blood. Departing, keeping at a distance, going out, is without blame.'}","Dispersion, success, perseverance",,,Wind and Water,Aquarius,Dissolution,I embrace dispersion with perseverance and success.
60,Limitation,010101,Limitation. Success. Galling limitation must not be persevered in.,"Water over lake: the image of Limitation. Thus the superior man creates number and measure, and examines the nature of virtue and correct conduct.","{'line_1': 'Not going out of the door and the courtyard is without blame.', 'line_2': 'Not going out of the gate and the courtyard brings misfortune.', 'line_3': 'He who knows no limitation will have cause to lament. No blame.', 'line_4': 'Contented limitation. Success.', 'line_5': 'Sweet limitation brings good fortune. Going brings esteem.', 'line_6': 'Galling limitation. Perseverance brings misfortune. Remorse disappears.'}","Limitation, success, measure",,,Water and Lake,Cancer,Measure,I understand limitation with measure and success.
61,Inner Truth,110110,Inner Truth. Pigs and fishes. Good fortune. It furthers one to cross the great water. Perseverance furthers.,Wind over lake: the image of Inner Truth. Thus the superior man discusses criminal cases in order to delay executions.,"{'line_1': 'Being prepared brings good fortune. If there are secret designs, it is disquieting.', 'line_2': 'A crane calling in the shade. Its young answers it. I have a good goblet. I will share it with you.', 'line_3': 'He finds a comrade. Now he beats the drum, now he stops. Now he sobs, now he sings.', 'line_4': 'The moon nearly at the full. The team horse goes astray. No blame.', 'line_5': 'He possesses truth, which links together. No blame.', 'line_6': 'Cockcrow penetrating to heaven. Perseverance brings misfortune.'}","Inner Truth, perseverance, harmony",,,Wind and Lake,Libra,Truth,I seek inner truth with perseverance and harmony.
62,Preponderance of the Small,110101,"Preponderance of the Small. Success. Perseverance furthers. Small things may be done; great things should not be done. The flying bird brings the message: It is not well to strive upward, it is well to remain below. Great good fortune.",Thunder on the mountain: the image of Preponderance of the Small. Thus in his conduct the superior man gives preponderance to reverence. In bereavement he gives preponderance to grief. In his expenditures he gives preponderance to thrift.,"{'line_1': 'The bird meets with misfortune through flying.', 'line_2': 'She passes by her ancestor and meets her ancestress. He does not reach his prince and meets the official. No blame.', 'line_3': 'If one is not extremely careful, somebody may come up from behind and strike him. Misfortune.', 'line_4': 'No blame. He meets him without passing by. Going brings danger. One must be on guard. Do not act. Be constantly persevering.', 'line_5': 'Dense clouds, no rain from our western territory. The prince shoots and hits him who is in the cave.', 'line_6': 'He passes him by, not meeting him. The flying bird leaves him. Misfortune. This means bad luck and injury.'}","Small things, perseverance, caution",,,Thunder and Mountain,Virgo,Small Matters,I find success in small things with perseverance and caution.
63,After Completion,101010,After Completion. Success in small matters. Perseverance furthers. At the beginning good fortune. At the end disorder.,Water over fire: the image of the condition in After Completion. Thus the superior man takes thought of misfortune and arms himself against it in advance.,"{'line_1': 'He breaks his wheels. He gets his tail in the water. No blame.', 'line_2': 'The woman loses the curtain of her carriage. Do not run after it; on the seventh day you will get it.', 'line_3': ""The Illustrious Ancestor disciplines the Devil's Country. After three years he conquers it. Inferior people must not be employed."", 'line_4': 'The finest clothes turn to rags. Be careful all day long.', 'line_5': 'The neighbor in the east who slaughters an ox does not attain as much real happiness as the neighbor in the west with his small offering.', 'line_6': 'He gets his head in the water. Danger.'}","Completion, success, foresight",,,Water and Fire,Pisces,Completion,I achieve success with foresight and completion.
64,Before Completion,010101,"Before Completion. Success. But if the little fox, after nearly completing the crossing, gets his tail in the water, there is nothing that would further.","Fire over water: the image of the condition before transition. Thus the superior man is careful in the differentiation of things, so that each finds its place.","{'line_1': 'He gets his tail in the water. Humiliating.', 'line_2': 'He brakes his wheels. Perseverance brings good fortune.', 'line_3': 'Before completion, attack brings misfortune. It furthers one to cross the great water.', 'line_4': ""Perseverance brings good fortune. Remorse disappears. Shock, thus to discipline the Devil's Country. For three years, great realms are awarded."", 'line_5': 'Perseverance brings good fortune. No remorse. The light of the superior man is true. Good fortune.', 'line_6': 'There is drinking of wine in genuine confidence. No blame. But if one wets his head, it is truly a mistake.'}","Transition, caution, success",,,Fire and Water,Aquarius,Transition,I achieve success through careful transition and foresight.
6,Conflict,010110,Conflict. You are sincere and are being obstructed. A cautious halt halfway brings good fortune. Going through to the end brings misfortune.,Heaven and water go their opposite ways: the image of Conflict. Thus in all his transactions the superior man carefully considers the beginning.,"{'line_1': 'If one does not perpetuate the affair, there is a little gossip. In the end, good fortune comes.', 'line_2': 'One cannot engage in conflict; one returns home, gives way. The people of his town, three hundred households, remain free of guilt.', 'line_3': 'To nourish oneself on ancient virtue induces perseverance. Danger. In the end, good fortune comes. If by chance you are in the service of a king, seek not works.', 'line_4': 'One cannot engage in conflict. One turns back and submits to fate, changes one’s attitude, and finds peace in perseverance. Good fortune.', 'line_5': 'To contend before him brings supreme good fortune.', 'line_6': 'Even if by chance a leather belt is bestowed on one, by the end of a morning it will have been snatched away three times.'}","Conflict, caution, perseverance",,,Heaven,Libra,Water,I navigate conflict with caution and perseverance.
7,The Army,000010,The Army. The army needs perseverance and a strong man. Good fortune without blame.,In the middle of the earth is water: the image of The Army. Thus the superior man increases his masses by generosity toward the people.,"{'line_1': 'An army must set forth in proper order. If the order is not good, misfortune threatens.', 'line_2': 'In the midst of the army. Good fortune. No blame. The king bestows a triple decoration.', 'line_3': 'Perchance the army carries corpses in the wagon. Misfortune.', 'line_4': 'The army retreats. No blame.', 'line_5': 'There is game in the field. It furthers one to catch it. Without blame. Let the eldest lead the army. The younger transports corpses; then perseverance brings misfortune.', 'line_6': 'The great prince issues commands, founds states, vests families with fiefs. Inferior people should not be employed.'}","Perseverance, leadership, organization",,,Earth,Scorpio,Water,I lead with perseverance and organization.
8,Holding Together,010010,"Holding Together brings good fortune. Inquire of the oracle once again whether you possess sublimity, constancy, and perseverance; then there is no blame. Those who are uncertain gradually join. Whoever comes too late meets with misfortune.",On the earth is water: the image of Holding Together. Thus the kings of antiquity bestowing rich fiefs on large numbers of vassals collected their followers around them.,"{'line_1': 'Hold to him in truth and loyalty; this is without blame. Truth, like a full earthen bowl: thus in the end good fortune comes from without.', 'line_2': 'Hold to him inwardly. Perseverance brings good fortune.', 'line_3': 'You hold together with the wrong people.', 'line_4': 'Hold to him outwardly also. Perseverance brings good fortune.', 'line_5': 'Manifestation of holding together. In the hunt the king uses beaters on three sides only and foregoes game that runs off in front. The citizens need no warning. Good fortune.', 'line_6': 'He finds no head for holding together. Misfortune.'}","Unity, loyalty, perseverance",,,Earth,Sagittarius,Water,I foster unity and loyalty.
9,The Taming Power of the Small,111010,"The Taming Power of the Small has success. Dense clouds, no rain from our western region.",The wind drives across heaven: the image of The Taming Power of the Small. Thus the superior man refines the outward aspect of his nature.,"{'line_1': 'Return to the way. How could there be blame in this? Good fortune.', 'line_2': 'He allows himself to be drawn into returning. Good fortune.', 'line_3': 'The spokes burst out of the wagon wheels. Man and wife roll their eyes.', 'line_4': 'If you are sincere, blood vanishes and fear gives way. No blame.', 'line_5': 'If you are sincere and loyally attached, you are rich in your neighbor.', 'line_6': 'The rain comes, there is rest. This is due to the lasting effect of character. Perseverance brings the woman into danger. The moon is nearly full. If the superior man persists, misfortune comes.'}","Restraint, perseverance, subtlety",,,Wind,Capricorn,Heaven,I embrace subtlety and perseverance.
10,Treading,010111,Treading. Treading upon the tail of the tiger. It does not bite the man. Success.,"Heaven above, the lake below: the image of Treading. Thus the superior man discriminates between high and low, and thereby fortifies the thinking of the people.","{'line_1': 'Simple conduct. Progress without blame.', 'line_2': 'Treading a smooth, level course. The perseverance of a dark man brings good fortune.', 'line_3': 'A one-eyed man is able to see, a lame man is able to tread. He treads on the tail of the tiger. The tiger bites the man. Misfortune. Thus a warrior acts on behalf of his great prince.', 'line_4': 'He treads on the tail of the tiger. Caution and circumspection lead ultimately to good fortune.', 'line_5': 'Resolute conduct. Perseverance with awareness of danger.', 'line_6': 'Look to your conduct and weigh the favorable signs. When everything is fulfilled, supreme good fortune comes.'}","Caution, awareness, progress",,,Heaven,Aquarius,Tiger,I progress with caution and awareness.
11,Peace,111000,"Peace. The small departs, the great approaches. Good fortune. Success.","Heaven and earth unite: the image of Peace. Thus the ruler divides and completes the course of heaven and earth, and so aids the people.","{'line_1': 'When ribbon grass is pulled up, the sod comes with it. Each according to his kind. Undertakings bring good fortune.', 'line_2': ""Bearing with the uncultured in gentleness, crossing the river with resolution, not neglecting what is distant, not regarding one's companions: thus one may manage to walk in the middle."", 'line_3': 'No plain not followed by a slope. No going not followed by a return. He who remains persevering in danger is without blame. Do not complain about this truth; enjoy the good fortune you still possess.', 'line_4': 'He flutters down, not boasting of his wealth, together with his neighbor, guileless and sincere.', 'line_5': 'The sovereign I gives his daughter in marriage. This brings blessing and supreme good fortune.', 'line_6': 'The wall falls back into the moat. Use no army now. Make your commands known within your own town. Perseverance brings humiliation.'}","Peace, harmony, unity",,,Heaven and Earth,Pisces,Harmony,I foster peace and unity.
12,Standstill,000111,Standstill. Evil people do not further the perseverance of the superior man. The great departs; the small approaches.,Heaven and earth do not unite: the image of Standstill. Thus the superior man falls back upon his inner worth in order to escape the difficulties. He does not permit himself to be honored with revenue.,"{'line_1': 'When ribbon grass is pulled up, the sod comes with it. Each according to his kind. Perseverance brings good fortune and success.', 'line_2': 'They bear and endure; this means good fortune for inferior people. The standstill serves to create success for the great man.', 'line_3': 'They bear shame.', 'line_4': 'He who acts at the command of the highest remains without blame. Those of like mind partake of the blessing.', 'line_5': ""Standstill is giving way. Good fortune for the great man. 'What if it should fail, what if it should fail?' In this way he ties it to a cluster of mulberry shoots."", 'line_6': 'The standstill comes to an end. First standstill, then good fortune.'}","Standstill, perseverance, inner worth",,,Heaven and Earth,Virgo,Obstacle,I persevere through standstill.
13,Fellowship with Men,111010,Fellowship with Men in the open. Success. It furthers one to cross the great water. The perseverance of the superior man furthers.,Heaven together with fire: the image of Fellowship with Men. Thus the superior man organizes the clans and makes distinctions between things.,"{'line_1': 'Fellowship with men at the gate. No blame.', 'line_2': 'Fellowship with men in the clan. Humiliation.', 'line_3': 'He hides weapons in the thicket; he climbs the high hill in front of it. For three years he does not rise up.', 'line_4': 'He climbs up on his wall; he cannot attack. Good fortune.', 'line_5': 'Men bound in fellowship first weep and lament, but afterward they laugh. After great struggles they succeed in meeting.', 'line_6': 'Fellowship with men in the meadow. No remorse.'}","Fellowship, success, organization",,,Heaven and Fire,Leo,Unity,I build fellowship and success.
14,Possession in Great Measure,111101,Possession in Great Measure. Supreme success.,"Fire in heaven above: the image of Possession in Great Measure. Thus the superior man curbs evil and furthers good, and thereby obeys the benevolent will of heaven.","{'line_1': 'No relationship with what is harmful; there is no blame in this. If one remains conscious of difficulty, one remains without blame.', 'line_2': 'A big wagon for loading. One may undertake something. No blame.', 'line_3': 'A prince offers it to the Son of Heaven. A small man cannot do this.', 'line_4': 'He makes a difference between himself and his neighbor. No blame.', 'line_5': 'He whose truth is accessible, yet dignified, has good fortune.', 'line_6': 'He is blessed by heaven. Good fortune. Nothing that does not further.'}","Possession, success, benevolence",,,Heaven and Fire,Aries,Wealth,I possess great measure and success.
15,Modesty,000100,Modesty creates success. The superior man carries things through.,"Within the earth, a mountain: the image of Modesty. Thus the superior man reduces that which is too much, and augments that which is too little. He weighs things and makes them equal.","{'line_1': 'Modesty that comes to expression. Perseverance brings good fortune.', 'line_2': 'Modesty that comes to expression. Perseverance brings good fortune.', 'line_3': 'A superior man of modesty and merit carries things through.', 'line_4': 'Nothing that would not further modesty in movement.', 'line_5': ""No boasting of wealth before one's neighbor. It is favorable to attack with force. Nothing that would not further."", 'line_6': ""Modesty that comes to expression. It is favorable to set armies marching to chastise one's own city and one's country.""}","Modesty, success, perseverance",,,Earth,Taurus,Humility,I embody modesty and success.
16,Enthusiasm,100011,Enthusiasm. It furthers one to install helpers and to set armies marching.,"Thunder comes resounding out of the earth: the image of Enthusiasm. Thus the ancient kings made music in order to honor merit, and offered it with splendor to the Supreme Deity, inviting their ancestors to be present.","{'line_1': 'Enthusiasm that expresses itself brings misfortune.', 'line_2': 'Firm as a rock. Not a whole day. Perseverance brings good fortune.', 'line_3': 'Enthusiasm that looks upward creates remorse. Hesitation brings remorse.', 'line_4': 'The source of enthusiasm. He achieves great things. Doubt not. You gather friends around you as a hair clasp gathers the hair.', 'line_5': 'Persistently ill, and still does not die.', 'line_6': 'Deluded enthusiasm. But if after completion one changes, there is no blame.'}","Enthusiasm, energy, initiative",,,Thunder,Aries,Energy,I embody enthusiasm and initiative.
17,Following,011100,Following has supreme success. Perseverance furthers. No blame.,Thunder in the middle of the lake: the image of Following. Thus the superior man at nightfall goes indoors for rest and recuperation.,"{'line_1': 'The standard is changing. Perseverance brings good fortune. To go out of the door in company produces deeds.', 'line_2': 'If one clings to the little boy, one loses the strong man.', 'line_3': 'If one clings to the strong man, one loses the little boy. Through following one finds what one seeks. It furthers one to remain persevering.', 'line_4': ""Following creates success. Perseverance brings misfortune. To go one's way with sincerity brings clarity. How could there be blame in this?"", 'line_5': 'Sincere in the good. Good fortune.', 'line_6': 'He meets with firm allegiance and is still further bound. The king introduces him to the Western Mountain.'}","Following, perseverance, adaptability",,,Lake and Thunder,Gemini,Adaptability,I follow with perseverance and adaptability.
